reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.5-2
rofi 1.5.0-2
rpcbind 0.2.4-4
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.3-1
s-nail 14.9.6-1
samba 4.7.4-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.8.0.r45.ga0bffe0-1
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
sed 4.4-1
semver 5.5.0-1
serf 1.3.9-2
shadow 4.5-4
shared-mime-info 1.9-1
sidplay2-libs 2.1.1-1
sip 4.19.7-1
slang 2.3.1a-1
smbclient 4.7.4-1
snappy 1.1.7-1
sndio 20180120-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-14
spandsp 0.0.6-1
spectre-meltdown-checker 0.34-1
speedtest-cli 1.0.7-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
spotify 1.0.70.399-1
sqlite 3.22.0-1
startup-notification 0.12-5
steam-manjaro 1.0.0.54-10
subversion 1.9.7-4
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 237.31-1
systemd-sysvcompat 237.31-1
taglib 1.11.1-1
talloc 2.1.11-1
tar 1.30-1
tcl 8.6.8-1
tdb 1.3.15-1
terminus-font 4.46-1.1
tevent 1:0.9.34-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
thunar 1.6.13-1
thunar-volman 0.8.1-2
tlp 1.1-1.0
tslib 1.15-1
ttf-bitstream-vera 1.10-11
ttf-droid 20121017-5
ttf-inconsolata 1:2.0.0.1-2
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-7
tumbler 0.2.0-1
tzdata 2018c-1
udiskie 1.7.3-1
udisks2 2.7.5-1
ufw 0.35-3
unace 2.5-9
unclutter 8-10
unrar 1:5.5.8-1
unzip 6.0-12
upower 0.99.7-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.31.1-1
v4l-utils 1.14.1-1
v86d 0.1.10-5
vertex-maia-icon-theme 20180118-1
vertex-maia-themes 20171114-1
vi 1:070224-2
vibrancy-colors 2.7-2
vid.stab 1.1-1
vim 8.0.1476-1
vim-runtime 8.0.1476-1
visual-studio-code-bin 1.20.1-1
vlc-nightly 3.0.0v20180207-1
volume_key 0.3.9-5
vpnc 0.5.3.svn550-2
vte-common 0.51.3-0.1
vte3 0.51.3-0.1
vulkan-icd-loader 1.0.68.0-1
wavpack 5.1.0-1
wayland 1.14.0-1
wayland-protocols 1.12-1
webkit2gtk 2.18.6-1
webrtc-audio-processing 0.3-2
wget 1.19.4-1
which 2.21-2
wildmidi 0.4.2-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-11
x265 2.6-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
